Marca;Modelo;Tipo;Version;Anio;Precio
Alfa Romeo;Giulietta;Auto;5P 1,4 120CV PROGRESSION CRO MILANO;2014;18695
Alfa Romeo;Giulietta;Auto;5P 1,4 120CV DISTINCTIVE;2014;17634
Alfa Romeo;Giulietta;Auto;5P 1,4 170CV DISTINCTIVE;2015;19560
Alfa Romeo;Giulietta;Auto;5P 1,4 170CV DISTINCTIVE;2014;18661
Alfa Romeo;Giulietta;Auto;5P 1,4 170CV DISTINCTIVE T/C;2015;20852
Alfa Romeo;Giulietta;Auto;5P 1,4 170CV DISTINCTIVE T/C;2014;19894
Alfa Romeo;Giulietta;Auto;5P 1,4 170CV DISTINCTIVE TCT AT;2015;22624
Alfa Romeo;Giulietta;Auto;5P 1,4 170CV DISTINCTIVE TCT AT;2014;21584
Alfa Romeo;Giulietta;Auto;5P 1,4 170CV DISTINCTIVE TCT T/C AT;2015;23708
Alfa Romeo;Giulietta;Auto;5P 1,4 170CV DISTINCTIVE TCT T/C AT;2014;22619
Alfa Romeo;Giulietta;Auto;5P 1,4 170CV DISTINCTIVE TCT T/C AT CRO;2015;23634
Alfa Romeo;Giulietta;Auto;5P 1,4 170CV DISTINCTIVE TCT T/C AT CRO;2014;22548
Alfa Romeo;Giulietta;Auto;5P 1,4 170CV DISTINCTIVE TCT PREMIUM;2015;26358
Alfa Romeo;Giulietta;Auto;5P 1,4 170CV DISTINCTIVE TCT PREMIUM;2014;25147
Alfa Romeo;Giulietta;Auto;5P 1,4 170CV DISTINCTIVE TCT 6M;2020;31261
Alfa Romeo;Giulietta;Auto;5P 1,4 170CV DISTINCTIVE TCT 6M;2019;30196
Alfa Romeo;Giulietta;Auto;5P 1,4 170CV DISTINCTIVE TCT 6M;2018;27845
Alfa Romeo;Giulietta;Auto;5P 1,4 170CV DISTINCTIVE TCT 6M;2017;26948
Alfa Romeo;Giulietta;Auto;5P 1,4 170CV DISTINCTIVE TCT 6M;2016;25423
Alfa Romeo;Giulietta;Auto;5P 1,4 170CV DISTINCTIVE TCT 6M CRO MILANO;2018;29323
Alfa Romeo;Giulietta;Auto;5P 1,4 170CV DISTINCTIVE TCT 6M CRO MILANO;2017;28379
Alfa Romeo;Giulietta;Auto;5P 1,4 170CV DISTINCTIVE TCT 6M CRO MILANO;2016;26773
Alfa Romeo;Giulietta;Auto;5P 1,4 170CV DISTINCTIVE TCT 6M CRO MILANO TECHNOLOGY;2018;29822
Alfa Romeo;Giulietta;Auto;5P 1,4 170CV DISTINCTIVE TCT 6M CRO MILANO TECHNOLOGY;2017;28862
Alfa Romeo;Giulietta;Auto;5P 1,4 170CV DISTINCTIVE TCT 6M CRO MILANO TECHNOLOGY;2016;27228
Alfa Romeo;Giulietta;Auto;5P 1,4 170CV DISTINCTIVE TCT 6M CRO MILANO TECHNOLOGY T/C;2018;31297
Alfa Romeo;Giulietta;Auto;5P 1,4 170CV DISTINCTIVE TCT 6M CRO MILANO TECHNOLOGY T/C;2017;30289
Alfa Romeo;Giulietta;Auto;5P 1,4 170CV DISTINCTIVE TCT 6M CRO MILANO TECHNOLOGY T/C;2016;28575
Alfa Romeo;Giulietta;Auto;5P 1,4 170CV DISTINCTIVE TCT 6M ASIENTO ELEC;2020;32478
Alfa Romeo;Giulietta;Auto;5P 1,4 170CV DISTINCTIVE TCT 6M ASIENTO ELEC;2019;31371
Alfa Romeo;Giulietta;Auto;5P 1,4 170CV DISTINCTIVE TCT 6M ASIENTO ELEC;2018;28928
Alfa Romeo;Giulietta;Auto;5P 1,4 170CV DISTINCTIVE TCT 6M ASIENTO ELEC;2017;27997
Alfa Romeo;Giulietta;Auto;5P 1,4 170CV DISTINCTIVE TCT 6M ASIENTO ELEC NAV;2020;33380
Alfa Romeo;Giulietta;Auto;5P 1,4 170CV DISTINCTIVE TCT 6M ASIENTO ELEC NAV;2019;32242
Alfa Romeo;Giulietta;Auto;5P 1,4 170CV DISTINCTIVE TCT 6M ASIENTO ELEC NAV;2018;29732
Alfa Romeo;Giulietta;Auto;5P 1,4 170CV DISTINCTIVE TCT 6M ASIENTO ELEC NAV;2017;28775
Alfa Romeo;Giulietta;Auto;5P 1,4 170CV TCT PROGRESSION AT;2015;20017
Alfa Romeo;Giulietta;Auto;5P 1,4 170CV TCT PROGRESSION AT;2014;19097
Alfa Romeo;Giulietta;Auto;5P 1,4 170CV TCT PROGRESSION AT CRO;2015;21194
Alfa Romeo;Giulietta;Auto;5P 1,4 170CV TCT PROGRESSION AT CRO;2014;20220
Alfa Romeo;Giulietta;Auto;5P 1,8 TBI 235CV QUADRIFOGLIO;2015;28513
Alfa Romeo;Giulietta;Auto;5P 1,8 TBI 235CV QUADRIFOGLIO;2014;27202
Alfa Romeo;Giulietta;Auto;5P 1,8 TBI 235CV QUADRIFOGLIO T/C;2015;29769
Alfa Romeo;Giulietta;Auto;5P 1,8 TBI 235CV QUADRIFOGLIO T/C;2014;28400
Alfa Romeo;Giulietta;Auto;5P 1,8 T 240CV QUADRIFOGLIO TCT VELOCE;2018;37679
Alfa Romeo;Giulietta;Auto;5P 1,8 T 240CV QUADRIFOGLIO TCT VELOCE;2017;36465
Alfa Romeo;Giulietta;Auto;5P 1,8 T 240CV QUADRIFOGLIO TCT VELOCE;2016;34402
Alfa Romeo;Giulietta;Auto;5P 1,8 T 240CV QUADRIFOGLIO TCT VELOCE T/C;2018;39044
Alfa Romeo;Giulietta;Auto;5P 1,8 T 240CV QUADRIFOGLIO TCT VELOCE T/C;2017;37787
Alfa Romeo;Giulietta;Auto;5P 1,8 T 240CV QUADRIFOGLIO TCT VELOCE T/C;2016;35649
Alfa Romeo;Giulietta;Auto;5P 1,8 TCT 240CV VELOCE;2020;39912
Alfa Romeo;Giulietta;Auto;5P 1,8 TCT 240CV VELOCE;2019;38551
Alfa Romeo;Giulietta;Auto;5P 1,8 TCT 240CV VELOCE;2018;35550
Alfa Romeo;Giulietta;Auto;5P 1,8 TCT 240CV VELOCE;2017;34405
Alfa Romeo;Giulietta;Auto;5P 1,8 TCT 240CV VELOCE CRO ASIENTO ELEC;2020;43730
Alfa Romeo;Giulietta;Auto;5P 1,8 TCT 240CV VELOCE CRO ASIENTO ELEC;2019;42240
Alfa Romeo;Giulietta;Auto;5P 1,8 TCT 240CV VELOCE CRO ASIENTO ELEC;2018;38951
Alfa Romeo;Giulietta;Auto;5P 1,8 TCT 240CV VELOCE CRO ASIENTO ELEC;2017;37697
Alfa Romeo;Giulietta;Auto;5P 1,8 TCT 240CV VELOCE CRO ASIENTO ELEC NAV;2020;44732
Alfa Romeo;Giulietta;Auto;5P 1,8 TCT 240CV VELOCE CRO ASIENTO ELEC NAV;2019;43207
Alfa Romeo;Giulietta;Auto;5P 1,8 TCT 240CV VELOCE CRO ASIENTO ELEC NAV;2018;39844
Alfa Romeo;Giulietta;Auto;5P 1,8 TCT 240CV VELOCE CRO ASIENTO ELEC NAV;2017;38561
Alfa Romeo;Giulietta;Auto;5P 1,8 TCT 240CV VELOCE GRIGIO RACER;2020;41502
Alfa Romeo;Giulietta;Auto;5P 1,8 TCT 240CV VELOCE GRIGIO RACER;2019;40088
Alfa Romeo;Giulietta;Auto;5P 1,8 TCT 240CV VELOCE 2020;2020;42114
Alfa Romeo;Giulietta;Auto;5P 1,8 TCT 240CV VELOCE 2020;2019;40678
Alfa Romeo;Mito;Auto;3P 1,4 JUNIOR;2018;18393
Alfa Romeo;Mito;Auto;3P 1,4 JUNIOR;2017;17027
Alfa Romeo;Mito;Auto;3P 1,4 JUNIOR;2016;16224
Alfa Romeo;Mito;Auto;3P 1,4 JUNIOR;2015;14807
Alfa Romeo;Mito;Auto;3P 1,4 JUNIOR;2014;13855
Alfa Romeo;Mito;Auto;3P 1,4 JUNIOR CRO MILANO;2018;19811
Alfa Romeo;Mito;Auto;3P 1,4 JUNIOR CRO MILANO;2017;18340
Alfa Romeo;Mito;Auto;3P 1,4 JUNIOR CRO MILANO;2016;17475
Alfa Romeo;Mito;Auto;3P 1,4 JUNIOR CRO MILANO;2015;15547
Alfa Romeo;Mito;Auto;3P 1,4 JUNIOR CRO MILANO;2014;14547
Alfa Romeo;Mito;Auto;3P 1,4 JUNIOR CRO MILANO TECHNOLOGY;2018;20301
Alfa Romeo;Mito;Auto;3P 1,4 JUNIOR CRO MILANO TECHNOLOGY;2017;18794
Alfa Romeo;Mito;Auto;3P 1,4 JUNIOR CRO MILANO TECHNOLOGY;2016;17907
Alfa Romeo;Mito;Auto;3P 1,4 JUNIOR CRO MILANO TECHNOLOGY;2015;15829
Alfa Romeo;Mito;Auto;3P 1,4 JUNIOR CRO MILANO TECHNOLOGY NAV;2018;21179
Alfa Romeo;Mito;Auto;3P 1,4 JUNIOR CRO MILANO TECHNOLOGY NAV;2017;19606
Alfa Romeo;Mito;Auto;3P 1,4 PROGRESSION M5;2020;24549
Alfa Romeo;Mito;Auto;3P 1,4 PROGRESSION M5;2019;24068
Alfa Romeo;Mito;Auto;3P 1,4 PROGRESSION M5;2018;20232
Alfa Romeo;Mito;Auto;3P 1,4 PROGRESSION M5 CRO MILANO;2020;26442
Alfa Romeo;Mito;Auto;3P 1,4 PROGRESSION M5 CRO MILANO;2019;25923
Alfa Romeo;Mito;Auto;3P 1,4 PROGRESSION M5 CRO MILANO;2018;21792
Alfa Romeo;Mito;Auto;3P 1,4 PROGRESSION M5 CRO MILANO TECHNOLOGY;2020;27095
Alfa Romeo;Mito;Auto;3P 1,4 PROGRESSION M5 CRO MILANO TECHNOLOGY;2019;26564
Alfa Romeo;Mito;Auto;3P 1,4 PROGRESSION M5 CRO MILANO TECHNOLOGY;2018;22331
Alfa Romeo;Mito;Auto;3P 1,4 PACK RACER;2016;16510
Alfa Romeo;Mito;Auto;3P 1,4 PACK RACER;2015;15588
Alfa Romeo;Mito;Auto;3P 1,4 MULTIAIR 6TA PROGRESSION;2014;14806
Alfa Romeo;Mito;Auto;3P 1,4 MULTIAIR 6TA PLUS;2014;16362
Alfa Romeo;Mito;Auto;3P 1,4 TBI 6TA DISTINCTIVE;2014;15492
Alfa Romeo;Mito;Auto;3P 1,4 TBI 6TA DISTINCTIVE T/C;2014;16397
Alfa Romeo;Mito;Auto;3P 1,4 T MULTIAIR 6TA DISTINCTIVE;2014;16679
Alfa Romeo;Mito;Auto;3P 1,4 T MULTIAIR 6TA DISTINCTIVE T/C;2014;17574
Alfa Romeo;Mito;Auto;3P 1,4 TBI 6TA QUADRIFOGLIO T/C;2014;18608
Alfa Romeo;Mito;Auto;3P 1,4 T PROGRESSION TCT 2012;2015;19547
Alfa Romeo;Mito;Auto;3P 1,4 T PROGRESSION TCT 2012;2014;18290
Alfa Romeo;Mito;Auto;3P 1,4 T PROGRESSION TCT CRO MILANO 2012;2015;20640
Alfa Romeo;Mito;Auto;3P 1,4 T PROGRESSION TCT CRO MILANO 2012;2014;19313
Alfa Romeo;Mito;Auto;3P 1,4 T QV M6 CRO ALCANTARA 2013;2015;19583
Alfa Romeo;Mito;Auto;3P 1,4 T QV M6 CRO ALCANTARA 2013;2014;18324
Alfa Romeo;Mito;Auto;3P 1,4 T QV M6 CRO ALCANTARA T/C 2013;2015;21115
Alfa Romeo;Mito;Auto;3P 1,4 T QV M6 CRO ALCANTARA T/C 2013;2014;19757
Alfa Romeo;Mito;Auto;3P 1,4 T QV M6 CRO MILANO 2013;2015;20884
Alfa Romeo;Mito;Auto;3P 1,4 T QV M6 CRO MILANO 2013;2014;19541
Alfa Romeo;Mito;Auto;3P 1,4 T QV M6 CRO MILANO T/C 2013;2015;21296
Alfa Romeo;Mito;Auto;3P 1,4 T QV M6 CRO MILANO T/C 2013;2014;19926
Alfa Romeo;Mito;Auto;3P 1,4 T QV M6 CRO MILANO T/C PREMIUM 2013;2015;23310
Alfa Romeo;Mito;Auto;3P 1,4 T QV M6 CRO MILANO T/C PREMIUM 2013;2014;21811
Alfa Romeo;Mito;Auto;3P 1,4 T QV M6 CRO MILANO T/C PACK RACER;2015;23470
Alfa Romeo;Mito;Auto;3P 1,4 T TCT DISTINCTIVE AT 2012;2015;21477
Alfa Romeo;Mito;Auto;3P 1,4 T TCT DISTINCTIVE AT 2012;2014;20096
Alfa Romeo;Mito;Auto;3P 1,4 T TCT DISTINCTIVE T/C 2012;2015;22363
Alfa Romeo;Mito;Auto;3P 1,4 T TCT DISTINCTIVE T/C 2012;2014;20924
Alfa Romeo;Mito;Auto;3P 1,4 T 170CV VELOCE M6;2020;26125
Alfa Romeo;Mito;Auto;3P 1,4 T 170CV VELOCE M6;2019;25613
Alfa Romeo;Mito;Auto;3P 1,4 T 170CV VELOCE M6;2018;21531
Alfa Romeo;Mito;Auto;3P 1,4 T 170CV VELOCE M6 CRO MILANO;2020;27693
Alfa Romeo;Mito;Auto;3P 1,4 T 170CV VELOCE M6 CRO MILANO;2019;27150
Alfa Romeo;Mito;Auto;3P 1,4 T 170CV VELOCE M6 CRO MILANO;2018;22823
Alfa Romeo;Mito;Auto;3P 1,4 T 170CV VELOCE M6 CRO MILANO TECHNOLOGY;2020;29286
Alfa Romeo;Mito;Auto;3P 1,4 T 170CV VELOCE M6 CRO MILANO TECHNOLOGY;2019;28711
Alfa Romeo;Mito;Auto;3P 1,4 T 170CV VELOCE M6 CRO MILANO TECHNOLOGY;2018;24136
Alfa Romeo;Mito;Auto;3P 1,4 T 170CV VELOCE M6 CRO MILANO TECHNOLOGY NAV;2020;30305
Alfa Romeo;Mito;Auto;3P 1,4 T 170CV VELOCE M6 CRO MILANO TECHNOLOGY NAV;2019;29711
Alfa Romeo;Mito;Auto;3P 1,4 T 170CV VELOCE M6 CRO MILANO TECHNOLOGY NAV;2018;24976
Alfa Romeo;Mito;Auto;3P 1,4 T 170CV VELOCE M6 CRO MILANO TECHNOLOGY NAV SUNROOF;2020;31484
Alfa Romeo;Mito;Auto;3P 1,4 T 170CV VELOCE M6 CRO MILANO TECHNOLOGY NAV SUNROOF;2019;30867
Alfa Romeo;Mito;Auto;3P 1,4 T 170CV VELOCE M6 CRO MILANO TECHNOLOGY NAV SUNROOF;2018;25948
Alfa Romeo;Mito;Auto;3P 1,4 T 170CV VELOCE TCT;2018;24136
Alfa Romeo;Mito;Auto;3P 1,4 T 170CV VELOCE TCT;2017;22344
Alfa Romeo;Mito;Auto;3P 1,4 T 170CV VELOCE TCT;2016;21237
Alfa Romeo;Mito;Auto;3P 1,4 T 170CV VELOCE TCT CRO MILANO;2018;25486
Alfa Romeo;Mito;Auto;3P 1,4 T 170CV VELOCE TCT CRO MILANO;2017;23594
Alfa Romeo;Mito;Auto;3P 1,4 T 170CV VELOCE TCT CRO MILANO;2016;22425
Alfa Romeo;Mito;Auto;3P 1,4 T 170CV VELOCE TCT CRO MILANO TECHNOLOGY;2018;25948
Alfa Romeo;Mito;Auto;3P 1,4 T 170CV VELOCE TCT CRO MILANO TECHNOLOGY;2017;24021
Alfa Romeo;Mito;Auto;3P 1,4 T 170CV VELOCE TCT CRO MILANO TECHNOLOGY;2016;22831
Alfa Romeo;Mito;Auto;3P 1,4 T 170CV VELOCE TCT CRO MILANO TECHNOLOGY NAV;2020;32479
Alfa Romeo;Mito;Auto;3P 1,4 T 170CV VELOCE TCT CRO MILANO TECHNOLOGY NAV;2019;31842
Alfa Romeo;Mito;Auto;3P 1,4 T 170CV VELOCE TCT CRO MILANO TECHNOLOGY NAV;2018;26767
Alfa Romeo;Mito;Auto;3P 1,4 T 170CV VELOCE TCT CRO MILANO TECHNOLOGY NAV;2017;24780
Alfa Romeo;Mito;Auto;3P 1,4 T 170CV VELOCE TCT CRO MILANO TECHNOLOGY NAV SUNROOF;2020;33550
Alfa Romeo;Mito;Auto;3P 1,4 T 170CV VELOCE TCT CRO MILANO TECHNOLOGY NAV SUNROOF;2019;32892
Alfa Romeo;Mito;Auto;3P 1,4 T 170CV VELOCE TCT CRO MILANO TECHNOLOGY NAV SUNROOF;2018;27650
Alfa Romeo;Mito;Auto;3P 1,4 T 170CV VELOCE TCT CRO MILANO TECHNOLOGY NAV SUNROOF;2017;25597
Alfa Romeo;Mito;Auto;3P 1,4 T 170CV QUADRIFOGLIO 6M;2018;23508
Alfa Romeo;Mito;Auto;3P 1,4 T 170CV QUADRIFOGLIO 6M;2017;21763
Alfa Romeo;Mito;Auto;3P 1,4 T 170CV QUADRIFOGLIO 6M;2016;20685
Alfa Romeo;Mito;Auto;3P 1,4 T 170CV QUADRIFOGLIO 6M CRO MILANO;2018;24859
Alfa Romeo;Mito;Auto;3P 1,4 T 170CV QUADRIFOGLIO 6M CRO MILANO;2017;23014
Alfa Romeo;Mito;Auto;3P 1,4 T 170CV QUADRIFOGLIO 6M CRO MILANO;2016;21873
Alfa Romeo;Mito;Auto;3P 1,4 T 170CV QUADRIFOGLIO 6M CRO MILANO TECHNOLOGY;2018;25317
Alfa Romeo;Mito;Auto;3P 1,4 T 170CV QUADRIFOGLIO 6M CRO MILANO TECHNOLOGY;2017;23438
Alfa Romeo;Mito;Auto;3P 1,4 T 170CV QUADRIFOGLIO 6M CRO MILANO TECHNOLOGY;2016;22276
Alfa Romeo;Mito;Auto;3P 1,4 T 170CV QUADRI 6M CRO MILA TECHNOLOGY RACER;2018;26026
Alfa Romeo;Mito;Auto;3P 1,4 T 170CV QUADRI 6M CRO MILA TECHNOLOGY RACER;2017;24094
Alfa Romeo;Mito;Auto;3P 1,4 T 170CV QUADRI 6M CRO MILA TECHNOLOGY RACER;2016;22900
Alfa Romeo;Mito;Auto;3P 1,4T SPORT 2012;2014;16417
Alfa Romeo;Mito;Auto;3P 1,4T SPORT T/C 2012;2014;16877
Alfa Romeo;Stelvio;Auto;5P 2,0 T AT AWD 200CV DISTINCTIVE;2021;52884
Alfa Romeo;Stelvio;Auto;5P 2,0 T AT AWD 200CV DISTINCTIVE;2020;45684
Alfa Romeo;Stelvio;Auto;5P 2,0 T AT AWD 200CV DISTINCTIVE;2019;44226
Alfa Romeo;Stelvio;Auto;5P 2,0 T AT AWD 200CV DISTINCTIVE;2018;42800
Alfa Romeo;Stelvio;Auto;5P 2,0 T AT AWD 200CV DISTINCTIVE 2020;2023;73853
Alfa Romeo;Stelvio;Auto;5P 2,0 T AT AWD 200CV DISTINCTIVE 2020;2022;68382
Alfa Romeo;Stelvio;Auto;5P 2,0 T AT AWD 200CV DISTINCTIVE 2020;2021;65126
Alfa Romeo;Stelvio;Auto;5P 2,0 T AT AWD 200CV DISTINCTIVE 2020;2020;56258
Alfa Romeo;Stelvio;Auto;5P 2,0 T AT AWD 280CV VELOCE;2021;75072
Alfa Romeo;Stelvio;Auto;5P 2,0 T AT AWD 280CV VELOCE;2020;64850
Alfa Romeo;Stelvio;Auto;5P 2,0 T AT AWD 280CV VELOCE;2019;63472
Alfa Romeo;Stelvio;Auto;5P 2,0 T AT AWD 280CV VELOCE;2018;61426
Alfa Romeo;Stelvio;Auto;5P 2,0 T AT AWD 280CV VELOCE 2020;2024;91741
Alfa Romeo;Stelvio;Auto;5P 2,0 T AT AWD 280CV VELOCE 2020;2023;87372
Alfa Romeo;Stelvio;Auto;5P 2,0 T AT AWD 280CV VELOCE 2020;2022;80900
Alfa Romeo;Stelvio;Auto;5P 2,0 T AT AWD 280CV VELOCE 2020;2021;77048
Alfa Romeo;Stelvio;Auto;5P 2,0 T AT AWD 280CV VELOCE 2020;2020;66557
Alfa Romeo;Stelvio;Auto;5P 2,0 T AT AWD 280CV SUPER Q4 2021;2025;100915
Alfa Romeo;Stelvio;Auto;5P 2,0 T AT AWD 280CV SUPER Q4 2021;2024;91741
Alfa Romeo;Stelvio;Auto;5P 2,0 T AT AWD 280CV SUPER Q4 2021;2023;87479
Alfa Romeo;Stelvio;Auto;5P 2,0 T AT AWD 280CV SUPER Q4 2021;2022;80999
Alfa Romeo;Stelvio;Auto;5P 2,9 BT RWD 510CV QUADRIFOGLIO;2025;217394
Alfa Romeo;Stelvio;Auto;5P 2,9 BT RWD 510CV QUADRIFOGLIO;2024;197631
Alfa Romeo;Stelvio;Auto;5P 2,9 BT RWD 510CV QUADRIFOGLIO;2023;187749
Alfa Romeo;Stelvio;Auto;5P 2,9 BT RWD 510CV QUADRIFOGLIO;2022;173842
Alfa Romeo;Stelvio;Auto;5P 2,9 BT RWD 510CV QUADRIFOGLIO;2021;165564
Alfa Romeo;Stelvio;Auto;5P 2,9 BT RWD 510CV QUADRIFOGLIO;2020;143020
Alfa Romeo;Tonale;Auto;5P 1,5 T 7AT MHEV SPRINT;2025;51248
